cid,inference,postprocess_preds,prepare_input,process_case,read_brain_mask,read_image,save_time_vessel_map,totalsegmentator,brain_segmentation,io,generator,postprocessing,case_total
ukb_0375,89.2368,0.1718,1.4416,54.5338,0.1017,1.1264,0.1068,33.4034,33.4034,1.2281,90.6784,54.7055,180.0155
fast_0275,104.9142,0.1196,0.915,39.4542,0.116,0.6962,0.1324,32.8064,32.8064,0.8122,105.8292,39.5738,179.0216
ukb_0272,73.8447,0.1863,1.4911,68.2753,0.1213,1.125,0.1208,33.6624,33.6624,1.2463,75.3358,68.4617,178.7061
fast_0130,103.8774,0.1221,0.9304,39.3462,0.0965,0.7273,0.0813,33.4363,33.4363,0.8238,104.8078,39.4683,178.5361
fast_0135,110.7333,0.0947,0.9073,33.4687,0.0983,0.6907,0.0701,32.2792,32.2792,0.789,111.6406,33.5634,178.2722
ukb_0280,72.9307,0.1913,1.5412,68.3976,0.1169,1.2419,0.1289,33.7157,33.7157,1.3588,74.4719,68.589,178.1353
fast_0311,104.5047,0.1193,1.0209,38.0763,0.0967,0.8657,0.0945,33.0858,33.0858,0.9624,105.5256,38.1956,177.7694
fast_0293,101.9103,0.1156,0.9499,41.4309,0.1103,0.7395,0.0878,32.4113,32.4113,0.8498,102.8601,41.5466,177.6679
fast_0051,103.1377,0.1154,0.9683,39.6275,0.0833,1.1793,0.0844,32.4169,32.4169,1.2625,104.106,39.7429,177.5284
fast_0348,106.0034,0.1216,1.1407,36.1275,0.1464,0.9122,0.0718,32.7954,32.7954,1.0586,107.1441,36.249,177.2472
fast_0300,103.5658,0.1186,1.0623,37.9846,0.118,0.8479,0.0869,32.8556,32.8556,0.9659,104.6281,38.1032,176.5527
ukb_0247,68.7907,0.1988,1.5767,70.2977,0.1162,1.3159,0.1435,33.3826,33.3826,1.4322,70.3674,70.4965,175.6786
fast_0194,104.5544,0.12,1.043,35.664,0.0791,0.8146,0.0731,33.215,33.215,0.8937,105.5974,35.784,175.4902
fast_0103,98.3207,0.101,0.8547,40.4159,0.1083,0.6756,0.0736,33.5553,33.5553,0.7838,99.1754,40.5169,174.0313
fast_0078,129.2243,0.058,0.4471,10.9793,0.0806,0.3783,0.0417,32.7897,32.7897,0.4589,129.6714,11.0373,173.9574
fast_0085,102.7678,0.1242,1.1137,35.3776,0.0959,0.929,0.0813,33.296,33.296,1.0249,103.8815,35.5019,173.7043
fast_0010,102.4702,0.0978,0.848,35.2559,0.0843,0.677,0.0757,32.1567,32.1567,0.7613,103.3182,35.3537,171.5899
fast_0170,104.6034,0.1071,0.8098,32.2746,0.0913,0.6568,0.0744,32.2572,32.2572,0.7481,105.4133,32.3817,170.8003
fast_0299,91.7009,0.123,1.0558,43.9684,0.0794,0.9269,0.0887,32.8657,32.8657,1.0062,92.7567,44.0914,170.72
fast_0326,103.0843,0.0957,0.8342,32.2761,0.0874,0.87,0.0687,32.4893,32.4893,0.9574,103.9185,32.3719,169.737
fast_0175,100.6152,0.1037,0.8338,34.5603,0.0951,0.6727,0.0841,32.0996,32.0996,0.7678,101.449,34.664,168.9804
fast_0094,98.5142,0.0947,0.854,34.0112,0.105,0.733,0.0792,33.2714,33.2714,0.838,99.3682,34.106,167.5836
fast_0272,97.5057,0.09,0.8068,34.279,0.0814,0.6829,0.0661,32.7735,32.7735,0.7644,98.3125,34.369,166.2194
fast_0190,96.697,0.0996,0.8349,34.9528,0.0842,0.7412,0.0689,32.3635,32.3635,0.8254,97.5319,35.0524,165.7732
fast_0093,104.6859,0.099,0.7881,25.2011,0.0673,0.5818,0.0588,33.4499,33.4499,0.649,105.474,25.3002,164.8731
fast_0014,97.0879,0.0984,0.8219,32.3596,0.0891,0.8022,0.0766,32.1969,32.1969,0.8913,97.9098,32.458,163.456
fast_0192,101.076,0.0984,0.7767,27.7137,0.0669,0.6332,0.062,32.102,32.102,0.7002,101.8527,27.812,162.4669
fast_0034,100.0492,0.092,0.8002,28.2291,0.0998,0.7524,0.0705,32.1923,32.1923,0.8521,100.8494,28.3212,162.215
fast_0059,96.0497,0.089,0.8292,31.7081,0.0845,0.6785,0.0659,32.4468,32.4468,0.763,96.8789,31.7972,161.8859
fast_0200,96.4683,0.1001,0.7319,29.3666,0.1031,0.6708,0.0616,32.6292,32.6292,0.774,97.2002,29.4667,160.0701
ukb_0426,70.5699,0.1344,1.2372,53.7808,0.0962,1.0729,0.0881,32.8918,32.8918,1.1691,71.8071,53.9151,159.7831
fast_0065,98.4248,0.0904,0.7307,26.1731,0.0707,0.5581,0.0541,31.7838,31.7838,0.6288,99.1555,26.2635,157.8316
fast_0269,93.2578,0.0907,0.752,28.1263,0.07,0.5449,0.059,31.4909,31.4909,0.6149,94.0098,28.2171,154.3327
fast_0001,65.2504,0.1072,0.9551,50.8619,0.1054,0.7984,0.0998,31.884,31.884,0.9038,66.2055,50.9691,149.9623
fast_0081,75.4445,0.1125,0.8606,39.6211,0.088,0.7739,0.2894,31.9757,31.9757,0.8619,76.3052,39.7336,148.8764
